sample_size,sample_method,kernel,alpha,MSE of GPR,MSE of LS Paraboloid Fit,Integral Absolute Error of GPR,Integral Absolute Error of LS Paraboloid Fit
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.0006891218234788286,0.001368243652672777,8.279873861106262,13.766197562549326
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0005106962005865652,0.001368243652672777,6.620163732205379,13.766197562549326
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.0006891130705060949,0.001368243652672777,8.279826042276992,13.766197562549326
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.0006806517617968573,0.001368243652672777,8.233263841916452,13.766197562549326
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.0058147424640816545,0.001368243652672777,30.306944464169398,13.766197562549326
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0006891218240293338,0.001368243652672777,8.279873577799451,13.766197562549326
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.000689034309322149,0.001368243652672777,8.279396010473913,13.766197562549326
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.5006481909244329,0.001368243652672777,339.85260571690606,13.766197562549326
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.00565235135724647,0.001368243652672777,30.075694442625785,13.766197562549326
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.0006891218319171946,0.001368243652672777,8.279873929865172,13.766197562549326
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0005106962039286143,0.001368243652672777,6.620163773552704,13.766197562549326
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.011735528003945743,0.001368243652672777,43.59611056789854,13.766197562549326
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0005106962006152654,0.001368243652672777,6.620163704634812,13.766197562549326
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.005814742356577183,0.001368243652672777,30.306944340764247,13.766197562549326
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0006882493398462214,0.001368243652672777,8.27510200481555,13.766197562549326
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0006891218387650267,0.001368243652672777,8.279873968629152,13.766197562549326
