sample_size,sample_method,kernel,alpha,MSE of GPR,MSE of LS Paraboloid Fit,Integral Absolute Error of GPR,Integral Absolute Error of LS Paraboloid Fit
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.152326765998377,0.27466674184571926,24.06693241743607,33.51619421755013
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,1.004068280471525,0.27466674184571926,61.982955378292765,33.51619421755013
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.6489006002958552,0.27466674184571926,67.5955092336395,33.51619421755013
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,1.004068684080302,0.27466674184571926,61.98296677340749,33.51619421755013
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,1.0071090253674333,0.27466674184571926,62.05216544721348,33.51619421755013
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.3204027458746443,0.27466674184571926,36.1083193324931,33.51619421755013
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,1.0043714950802067,0.27466674184571926,61.98990164772216,33.51619421755013
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.6489006032867574,0.27466674184571926,67.5955094624007,33.51619421755013
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,1.0040986335154978,0.27466674184571926,61.983651595465346,33.51619421755013
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,1.0040684826962383,0.27466674184571926,61.98296072487134,33.51619421755013
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,1.0040684215474946,0.27466674184571926,61.98295911883038,33.51619421755013
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,1.0040684473050723,0.27466674184571926,61.98295983678946,33.51619421755013
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,1.0040683540069095,0.27466674184571926,61.98295741674782,33.51619421755013
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,1.004068462005936,0.27466674184571926,61.982960262157754,33.51619421755013
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,1.0040712057658379,0.27466674184571926,61.98302236395943,33.51619421755013
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",100,1.265004170101945,0.27466674184571926,111.88304081190257,33.51619421755013
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,1.0043712519682453,0.27466674184571926,61.98989385408012,33.51619421755013
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.15232677216177803,0.27466674184571926,24.06693301787922,33.51619421755013
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,1.0071090561746128,0.27466674184571926,62.052166429067555,33.51619421755013
