sample_size,sample_method,kernel,alpha,MSE of GPR,MSE of LS Paraboloid Fit,Integral Absolute Error of GPR,Integral Absolute Error of LS Paraboloid Fit
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.0012393022017819317,9.715877791876584e-05,11.276571814664804,2.8220216824814432
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,5.1696260093407885e-05,9.715877791876584e-05,1.9474594585143772,2.8220216824814432
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,8.17687043994915e-05,9.715877791876584e-05,2.333595446243705,2.8220216824814432
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,8.169256442085176e-05,9.715877791876584e-05,2.332561109801854,2.8220216824814432
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,5.169626391470495e-05,9.715877791876584e-05,1.9474594717073652,2.8220216824814432
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,8.176881036347642e-05,9.715877791876584e-05,2.3335966789634837,2.8220216824814432
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,8.10075407033205e-05,9.715877791876584e-05,2.323189151280384,2.8220216824814432
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,8.100756016151292e-05,9.715877791876584e-05,2.3231893823134326,2.8220216824814432
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,5.652760509183347e-05,9.715877791876584e-05,2.010885000113242,2.8220216824814432
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,7.420393193625917e-05,9.715877791876584e-05,2.230262037044807,2.8220216824814432
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,8.176877403323247e-05,9.715877791876584e-05,2.3335962585684866,2.8220216824814432
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,8.100748551786455e-05,9.715877791876584e-05,2.323188524861325,2.8220216824814432
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,7.420383624696114e-05,9.715877791876584e-05,2.2302608835486106,2.8220216824814432
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,8.176884537783782e-05,9.715877791876584e-05,2.333597077977582,2.8220216824814432
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.4969856640809555,9.715877791876584e-05,261.9594795730419,2.8220216824814432
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,5.652760391820801e-05,9.715877791876584e-05,2.0108849810863263,2.8220216824814432
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,8.176873884048825e-05,9.715877791876584e-05,2.3335958438768776,2.8220216824814432
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,8.176855735529601e-05,9.715877791876584e-05,2.3335937982880166,2.8220216824814432
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.4969679316628894,9.715877791876584e-05,261.9547958240835,2.8220216824814432
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,5.169627915845696e-05,9.715877791876584e-05,1.947459555056444,2.8220216824814432
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,5.169622826686737e-05,9.715877791876584e-05,1.9474592157633348,2.8220216824814432
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,8.176119847481379e-05,9.715877791876584e-05,2.3334933368838575,2.8220216824814432
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,5.169631120872834e-05,9.715877791876584e-05,1.9474597411194206,2.8220216824814432
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,3.988644838194477e-05,9.715877791876584e-05,1.7988212315298922,2.8220216824814432
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,3.988644795063278e-05,9.715877791876584e-05,1.7988212298723771,2.8220216824814432
