sample_size,sample_method,kernel,alpha,MSE of GPR,MSE of LS Paraboloid Fit,Integral Absolute Error of GPR,Integral Absolute Error of LS Paraboloid Fit
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.0009795568347720125,0.002031889754522105,2.151078209754388,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.0009731555429140329,0.002031889754522105,2.1484563322584567,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0006833379102813461,0.002031889754522105,1.8619801149953072,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0006193172567675786,0.002031889754522105,1.7832118249127662,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.01373504136657597,0.002031889754522105,8.813227590013005,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.0009282778291204075,0.002031889754522105,2.124606523696862,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.0009795568444452849,0.002031889754522105,2.1510782040499836,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.013735041320385553,0.002031889754522105,8.813227516484357,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.0009796237337993214,0.002031889754522105,2.1511042970405967,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.0009796243929370409,0.002031889754522105,2.151104580651264,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0006193172914936428,0.002031889754522105,1.7832118930367071,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.16962141891889473,0.002031889754522105,34.57956899557735,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.0009795569013573615,0.002031889754522105,2.1510781718438663,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693850215584507,0.002031889754522105,1.2365508612874,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0009796243589903855,0.002031889754522105,2.1511046089351207,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0009796243701666945,0.002031889754522105,2.151104606716362,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.0009796175955570064,0.002031889754522105,2.151101973176175,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0006833380139428263,0.002031889754522105,1.8619802450091434,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.0032798008958964263,0.002031889754522105,4.473975948774347,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.000979617584697155,0.002031889754522105,2.151101978208195,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.16961969698861687,0.002031889754522105,34.57937090191032,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693851582957936,0.002031889754522105,1.2365509238615666,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693845713468753,0.002031889754522105,1.2365507702359952,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.000356938481120074,0.002031889754522105,1.2365508113053898,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384918479148,0.002031889754522105,1.236550877848005,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0009789520602011413,0.002031889754522105,2.1508404974013517,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384275924412,0.002031889754522105,1.2365507046250028,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569385204379076,0.002031889754522105,1.2365508692550795,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.1696214510036904,0.002031889754522105,34.57957330927692,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.0009731555472777633,0.002031889754522105,2.1484563116715334,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.000356938525744686,0.002031889754522105,1.2365509308659868,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.003279800607785827,0.002031889754522105,4.473975704700595,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.000979624383723552,0.002031889754522105,2.1511045878821995,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.0009796236811697946,0.002031889754522105,2.15110434668256,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.0009282778037897706,0.002031889754522105,2.1246065764063973,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.16962001690644182,0.002031889754522105,34.57940831454714,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0009789520864025556,0.002031889754522105,2.150840476563865,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.0009731555319747334,0.002031889754522105,2.1484563245582287,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.013735041263741773,0.002031889754522105,8.813227496383911,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0006833379143662606,0.002031889754522105,1.8619801701979797,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0006193171310623336,0.002031889754522105,1.7832116420353747,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569385048500636,0.002031889754522105,1.2365509217146564,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.0009795569317904954,0.002031889754522105,2.151078090808054,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.0009282778845136256,0.002031889754522105,2.1246065056090315,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.000979623629368753,0.002031889754522105,2.1511044564648993,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693850910360086,0.002031889754522105,1.2365508947147246,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.0009796243566592348,0.002031889754522105,2.1511046058536976,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.16962139870547488,0.002031889754522105,34.57956643668239,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0009796243785695298,0.002031889754522105,2.1511046063299095,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.0009796176061115343,0.002031889754522105,2.15110196371254,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.003279800710767287,0.002031889754522105,4.473975785716075,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.013735041435316866,0.002031889754522105,8.813227554867705,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0006193173561828913,0.002031889754522105,1.783211982290655,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384600994596,0.002031889754522105,1.2365507653221912,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.1696197522321922,0.002031889754522105,34.57938053593704,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0006833378324102292,0.002031889754522105,1.8619800076764053,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.000979556799729943,0.002031889754522105,2.1510782295069237,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0009789520975892396,0.002031889754522105,2.1508404469602644,3.447983411154678
